DocumentNumber,County,Narrative
20243212839,Franklin County,  Unit # 2 was exiting the parking lot from the Wendy's located at 3050 E Main St to turn E/B E Main St.  Unit # 1 was turning into the parking lot of Wendy's next to Unit # .  The operator of Unit # 2 stated Unit # 1 struck her drivers side while he was turning into the parking lot and left he scene.  Officers observed minor damage to Unit # 2 on the drivers side door area.  CFD Medic 23 transported the victim to Grant for evaluation and possible treatment for her and her unborn child. The operator of Unit # 2 provided the tag number for unit # 1; that she had taken a picture of on her phone  The photo was a close up a red Ford tailgate with an Ohio; Purple HeartTag #242YJU.   Officers performed a records check through LEADS it was not on file.  Officers also called LEADS and had them try to run the tag number. CPD Leads Tech #5 stated she could not locate the tag number. Officers were also dispatched to S Broadleigh Ave on a different Hit Skip Accident (INC # #########)  involving a red car. Officers arrived and observed a red  Ford Ranger Bearing Ohio tag #242YJU.  Officers made contact with the driver that admitted being at the Wendy's earlier buit did not know he hit anyone. He was cited for the hits skip.  
20243213357,Franklin County,The driver of unit #1 stated that unit #2 was parked in the parking lot of the McDonalds at 1020 Alum Creek Dr. when unit #1 backed into unit #2.  The driver of unit #1 stated that the driver of unit #2 talked to him but stated that she could not wait till police arrived.
20243214674,Franklin County,Unit 2 stated that she was exiting the Wendy's at 2626 Bethel Rd when a black VW Tiguan SUV (unit 1) backed into her vehicle and then sped off. Unit 2 stated she was stationary when unit 1 struck her vehicle. Unit 2 stated she saw a male Indian with dark hair driving unit 1. Unit 2 stated she did not see the license plate. 
20243217947,Franklin County,On 11/18/2024 at approximately 7:31 AM; Officer A. McDonald #2811 and Officer A. Earle #3091 wearing the uniform of the day and working CPD marked cruiser 162 were dispatched to W. Main St. and Civic Center Dr. in response to a accident with property damage only. Upon arrival; Officer McDonald spoke with the driver of unit #2 who was identified by his Ohio drivers license as Lukas Perkins. Mr. Perkins stated that he was traveling E/B on W. Main St. approaching Civic Center Dr. Mr. Perkins stated that the driver of unit #1 attempted to change lanes and sideswiped his vehicle. Officer Earle spoke with the driver of unit #1 who was identified by his Ohio drivers license as Jay Rodgers. Mr. Rodgers stated that he was traveling E/B on W. Main St. approaching Civic Center Dr. Mr. Rodgers stated that he attempted to change lanes to turn N/B on Civic Center Dr. Mr. Rodgers stated that he sideswiped unit #2 when attempting to change lanes. Mr. Rodgers was issued a citation at scene. 
20243218733,Franklin County,On November 17th; Unit 2 authorized use stated she was inside the McDonald's located at 5410 Renner Rd. Columbus;Ohio 43228. Unit 2 authorized user exited the McDonald's and witnessed front end damage to Unit 2's left front area. Unit 2 authorized use stated there is camera footage of the collision but cannot access it until the morning. The Hiit Skip vehicle Unit 1;  is thought to be a large Truck or SUV white in color. Unit 2 authorized user was able to drive Unit 2 away. Unit 2  authorized user will try and obtain camera footage .  Authorized user of Unit 2 was Marisol Garcia Perez(UK119194); who is the sister to Unit 2 owner. 
20243221780,Franklin County,Unit 1 was parked on the south end of the McDonald's parking lot and Unit 2 was traveling east in the parking lot. Unit 1 backed up their vehicle without clearing the area behind them and hit Unit 2. The driver of Unit 1 did not have a valid driver license. Unit 1 was cited for operating a motor vehicle without a valid license and starting and backing vehicles. No injuries were reported and Unit 1 was returned to a valid driver. 
20243221872,Franklin County,Unit 1 was traveling eastbound through the parking lot at 4828 US 40. (KFC) Unit 2 was traveling northbound on North Murray Hill Rd from US 40 Unit 1 failed to yield while entering the roadway onto North Murray Hill Rd Unit 2 then struck Unit 1 on North Murray Hill Rd  
20243225124,Franklin County,Unit 1 was traveling on northbound I-71 in the number 4 lane at an undetermined speed. Unit 2 was traveling northbound in the number 4 lane and just merged onto the freeway and was traveling at a stated speed of 10 MPH due to traffic flow conditions. Unit 1 rear ended Unit 2 causing minor damage to the rear bumper of Unit 2. Unit 1 left the scene and Unit 2 followed Unit 1 to a Wendy's parking lot located on E Hudson St. Unit 2 tried to exit his vehicle to exchange information with Unit 1. Unit 1 left from the parking lot and did not exchange info with Unit 2. Unit 2 did not report any injuries. Unit 1 was identified as a male black. Unit 2 was provided a report number for the report.
20243226934,Franklin County,Unit #2 was stopped at the intersection of E 5th Ave. and Cleveland Ave. heading south on Cleveland Ave. When the light turned green; Unit #2 proceeded south through the intersection; when Unit #1 enetered the intersection driving east bound on E 5th Ave. Unit #2 then struck Unit #1 on the drivers side; to which Unit #2 pulled over in the Burger King parking lot. Unit #1 pulled over initially; to which a female exited the vehicle; injured and bloody; and proceeded to walk into Burger King. Additional males fled east bound on foot. A license plate number on Unit #1 was not captured. Medic 18 arrived and transported the injured female from Unit #1 to Grant Hopital in stable condition. No vehicles were towed; and the at fault party Unit #1 was not found. 
20243235946,Franklin County,Unit 1 was parked on the south side of the parking lot located at 1972 N High Street; McDonald's; facing southeast. Unit 2 was stopped in the parking lot directly behind Unit 1; just north of them. Unit 1 began to back up traveling northbound in reverse. Unit 1 struck the rear passenger side of Unit 2 with the rear of their vehicle. Both units sustained minor non disabling damage. The front passenger of Unit 2 stated she had back pain and was transported to OSU Main Hospital in stable condition. The Front passenger of Unit 2 was treated by OSU medical staff for her back pain. All other parties involved were uninjured. Both Units were able to drive from the scene. ****On 12/14/2024 the driver of Unit 2; Mr. Ward requested that officers add insurance information to their report. Mr. Ward's insurance is there HUGO and his policy number is HUGO-1077645/HUGOH7299985177.
20243239599,Franklin County,Unit #1 was traveling northbound on N 21st St and struck the front of Unit #2 as Unit #1 was backing up. The driver of Unit #2 stated the driver on Unit #1 backed their vehicle into Unit #2.  After Unit #1 struck Unit #2; the driver of Unit #1 traveled westbound through a vacant lot and then southbound onto N 22nd St. The driver of Unit #1 jumped out of the vehicle while their vehicle was still in motion and it struck the Wendy's building in the drive thru located at1054 E Broad St.The driver of Unit #1 continued to run on foot away from the scene.  The driver of Unit #1 was charged with felony fleeing F-3.
20243240356,Franklin County,Unit #1 was a motor vehicle in transport traveling S/B on N. Wilson Rd. Unit #2 was a motor vehicle in transport traveling N/B on N. Wilson Rd. in the right hand lane.  Witness #1 was a semi truck traveling on N/B on N. Wilson Rd. in the left lane. Witness #1 stated that he observed Unit #2 traveling at a high rate of speed in the middle turn lane coming from the north on Wilson Rd. Witness also observed Unit #2 driver attempting to turn left into a shopping center driveway near 200 N. Wilson Rd. while traffic was still moving N/B. on Wilson Rd.  Witness #1 began to slow and observed Unit #2 change lanes in front of him in an effort to avoid striking Unit #1; however; Unit #2 struck Unit #1 as Unit #1 was in the middle of a left hand turn.  Unit #2 has the right of way on N. Wilson Rd. Both Units came to a final rest in the S/B lanes of N. Wilson Rd. across from 200 N. Wilson Rd. (Taco Bell)  Unit #1 driver was transported to Grant Medical Center by CFD EMS 12 in stable condition.  He was treated by Dr. Blood for a hand injury and possible small brain bleed.  Unit #2 driver complained of head and hand pain but was not treated at scene.  Unit #1 driver was cited for Failure to Yield on a left hand turn and Unit #2 driver was cited for No Valid Operator's License at scene. Unit #1 stated to the officer at the hospital; he was not really sure what happened.
20243240386,Franklin County,Unit 1 stated that he parked his vehicle on the right side of the roadway. Unit 1 stated that his vehicle began rolling forward after he exited it. Unit 1 stated that his vehicle crossed the center of the roadway and struck the sign at Keswick Drive and McDonald Lane.   
20243241413,Franklin County,"On 12/20/2024 at approximately 12:17 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to S. Sandusky St. and W. Rich St. in response to an auto accident hit skip. Upon arrival; Officer McDonald spoke with the driver of unit #2; William Keimig. Mr. Keimig stated that he was traveling S/B on S. 3rd St. approaching E. Fulton St. Mr. Keimig stated that his light was yellow and he proceeded through the intersection when he was struck by unit #1. Mr. Keimig stated that unit #1 was traveling E/B on E. Fulton St. at S. 3rd St. and ran the traffic light. Mr. Keimig stated that he pulled over and gave the driver of unit #1 ""a thumbs up."" Mr. Keimig believes the driver of unit #1 may have interpreted that as they didn't need to exchange information or call law enforcement. Mr. Keimig stated that the driver of unit #1 drove away from the scene. Mr. Keimig stated that unit #1 was a blue mini van but wasn't able to provide Officer McDonald with a license plate number. Mr. Keimig descried the driver as a female white in her late twenties to early thirties. Mr. Keimig was given a incident report number to provide to his insurance company. "
20243243733,Franklin County,The driver of Unit #1 was down and out in the drive through of McDonald's on S Hamilton Rd and Kingsland Ave. Unit #2  responded to check on the driver of Unit #1. Unit #2 was parked when the driver of Unit #1 struck Unit #2. Unit #1 received minor damage to the front passenger bumper. Unit #2 received minor damage to the rear; left passenger side. The driver of Unit #1 took off on foot and the Officers did not find him. Pro Tow impounded Unit #1. No injuries were reported. Unit #1 was the at-fault driver.        **The owner of Unit#1 contacted the Division to say that she loaned her vehicle to Mitchell Porter; and he has been avoiding her since the crash. She was not in the vehicle at the time; and could not provide any information about the collision. Her vehicle was uninsured at the time of the collision. NMP-AIU**
20243244704,Franklin County,Officer were dispatched to the Wendy's off of Morse Road to investigate a hit-skip accident. Upon arrival the driver of unit 2  stated that she was driving into the walmart parking lot and the driver unit 1 did not stop at the intersection and hit her car in a side swiping fashion. She stated that the driver of unit 1 then drove off in a eastbound direction towards Sam's Club.
20243245802,Franklin County,Unit #1 stated he was facing southbound in the parking lot of Arbys and proceeded to back up and struck the rear of Unit #2 as she was backing. Unit #2 said she was facing northbound in the parking lot of Arbys and proceeded to back up; came to a complete stop and proceeded to drive forward going westbound and was struck in the rear by Unit #2. Unit #2 has visible damage to the passenger corner bumper where the corner of the bumpter popped out and can be popped back in. Unit #2 does not have any additional visible damage. Unit #1 doesn't appear to have any visible damage. Do to the conflicting stories; lack of of an idependent witness or camera footage; the reporting officer was unable to determine who was the at-fault party. Neither Units needed medical treatment.
20243247601,Franklin County,On the listed date and time; at the listed location; the driver of Unit 2 stated he was traveling southbound on Cleveland Ave; passing by the Subway at 5701 Cleveland Ave in lane 2 (closest to the curb); when Unit 1; traveling northbound; attempted to turn west into the Subway from the center turn lane. The driver of Unit 2 stated there was an uninvolved motorist that was stopped in the lane 1 traveling southbound; attempting to let Unit 1 turn into the Subway. The driver of Unit 2 stated Unit 1 initiated the turn westbound to cross two southbound lanes of travel as the uninvolved motorist was still stopped in lane 1 traveling southbound; The driver of Unit 2 stated as he passed the uninvolved motorist in lane 1; he was struck by Unit 1 in the driver side door; by the front of Unit 1. The driver of Unit 2 stated he had no injuries from the accident. Both parties exchanged vehicle and driver license information at scene; but both parties refused to exchange insurance information. A report was taken to resolve the dispute between the two parties. Due to not being able to interview the driver of Unit 1; outside of family members; no citations were issued. This accident occurred on and was reported on 12/24/2024 at 3:50 PM; but due to delay on Officers responding; Officers were not able to take a report at that time and was followed up on on today's date.
20243247822,Franklin County,Unit #1 was apparently traveling south-bound on S. High St and then attempted to make a west-bound turn onto Highview Blvd near the Wendy's and Taco Bell restaurants. Unit #1 struck Unit #2 as he was walking across the unmarked intersection. Unit #2 stated that he was struck in the legs; but did not fall over. Unit #2 stated that Unit #1 did not stop and left the scene. Unit #2 stated that he then walked to the S. High Street library and notified the staff that he was struck by a black Cadillac SUV. Unit #2 did not have a description of the driver of Unit #1. Staff called police for him. Unit #2 was transported by CFD Medic 22 prior to police arrival in stable condition to Children's Hospital. Responding officer followed up at Children's Hospital where Unit #2 was waiting in the ER with his parents. Unit #2 had apparently left his residence without permision and was walking to White Castle when he was struck by Unit #1. Unit #2's parents were provided with a report number. Responding officer also followed up at the Wendy's and Taco Bell to check if cameras may have captured the crosswalk area. Both restaurants stated that the cameras would not have captured that area. Parents Info: Tyeshia L. Crawford -- 09/06/1986 -- 614-203-5777 (Mom); Onray F. Evans Sr. -- 09/26/1982 -- 614-329-1844 (Dad). 
20243248186,Franklin County,The driver of Unit 2 stated that she was the 3rd car in line at the Wendys drive thru; when the vehicle in front of her (Unit 1) reversed and struck the front of Unit 2 causing damage to the bumper. The driver of Unit 2 stated that Unit 1 then pulled out of the drive thru and fled the scene. Unit 1 was described as a white Dodge Charger with Ohio license plate KKJ6112. The driver of Unit 2 was unable to see any occupants inside of Unit 1. Officers followed up at the registered address for Unit 1 and were unable to locate the vehicle. The driver of Unit 2 was provided with a report number. 
20243250036,Franklin County,On December 20th at approximately 6:04 Pm Officers C. Darlington #3403 and M. Clifford #3328 responded to a hit skip accident at the Burger King located at 1370 Harrisburg Pike. Officers spoke with the driver of Unit 2 who stated she was in the drive through line waiting for food when the driver of Unit 1 was in  line and seemed to be frusterated with the service and how slow they were. The driver of unit 2 then stated that the driver of Unit 1 backed their vehicle up which hit the front of Unti 2 causing damage to the front end of unit 1. The driver of Unit 2 stated that she driver of Unit 1 was a younger female. The Driver of Unit 2 was able to provide a tag of Unit 1; Ohio Tag KIB6265. Officers ran the tag which registered to 99 N Wayne. Officers conducted a follow up investigation and eventually spoke with the driver of unit 1 who admitted to backing into her vehicle. Upon running the driver of unit 1 through leads; Officers came across that she was driving on a license that was failed to be reinstated. Officers issued the Driver of Unit 1 a ticket for Failure to Reinstate (2141.21) and Hit Skip (2135.12(A).  Ticket # CPD026698. 
20243250650,Franklin County,Unit 2 was stopped at the red light in the west most left hand turn lane on Brice Rd just north of the intersection with Tussing Rd. Unit 1 was traveling south on Brice rd in the east most left hand turn lane just north of the intersection with Tussing Rd when it made an improper lane change striking the left rear of Unit 2 with the right front of Unit 1. Unit 1 pushed Unit 2 into Unit 3 striking Unit 3 in the left rear. The Driver of Unit 3 was uninjured and Unit 3 was able to be driven from scene. The Driver and Occupants of Unit 2 were treated by CFD Medic 823 but were not transported. Unit 2 was able to be driven from scene. Unit 2 Occupant #1 stated the driver of Unit 1 was a female black in her early 20's. Unit 2 Occupant #1 stated the driver of Unit 1 had stated someone had cut her off; requested Unit 2 move; and parked in the KFC lot before fleeing the scene. Unit 2 provided the Officers photos of Unit 1 and her driver. Unit 1 is a blue Nissan sedan with front right damage and the driver was a female black in a red puffer jacket. Due to the lack of a vehicle tag for Unit 1; Officers were unable to conduct followup. Due to the evidence at the scene and the statements made by the involved parties; Officers determined that Unit 1 was at fault. 
20243251218,Franklin County,The crash occurred at the intersection of N High Street and W 18th Avenue. Driver of Unit 02 stated he was traveling southbound on N High Street and had a green light to continue southbound through W 18th Avenue. Upon approaching the intersection; Unit 01 crossed N High Street on 18th Avenue in front of Unit 02 and was struck. Driver of Unit 02 stated he spoke with the driver of Unit 01 prior to Police arrival and the driver admitted to being at fault and did not look before crossing N High Street from a private drive (McDonald's). Front passenger of Unit 02 was evaluated on scene and released by CFD Medic 7. No other injuries were reported. Driver of Unit 01 was issued a traffic citation for Failure to Yield from a Private Drive. Both Units were driven away from the scene by their respective occupants.
20246175568,Franklin County,Unit 1 was traveling southbound on the sidewalk on the east side of Northwest Blvd. Unit 2 was turning northbound on Northwest Blvd from 3040 Northwest Blvd (Wendy's Drive-thru). Unit 1 was improperly operating their bicycle on the sidewalk causing Unit 2 to strike Unit 1. Unit 1 is at fault for improperly operating a bicycle on the sidewalk. 
20248057291,Franklin County,UNIT TWO WAS EXITING THE DRIVEWAY OF MCDONALDS WHEN UNIT ONE WAS ENTERING THE DRIVEWAY AND SIDESWIPED UNIT TWO. THE DRIVER OF UNIT ONE WAS FOUND TO BE INTOXICATED AND WAS ARRESTED AND CHARGED WITH OVI. MINOR DAMAGE ON BOTH VEHICLES. 
20248069235,Franklin County,UNIT #2 WAS N/B ON S. HAMILTON RD IN THE CENTER THROUGH LANE CHANGING LANES INTO THE LEFT TURN LANE AS IT WAS APPROACHING THE INTERSECTION WITH E. MAIN ST.  UNIT #1 WAS W/B IN THE PRIVATE DRIVE AT 4595 E. MAIN ST (WENDY'S).  UNIT #1 PULLED OUT ON TO S. HAMILTON RD; FAILING TO YIELD TO UNIT #2; AND STRUCK UNIT #2 IN THE RIGHT FRONT WITH THEIR LEFT FRONT.  UNIT #1 FLED THE AREA N/B ON S. HAMILTON RD.  THE OCCUPANTS OF UNIT #2 DESCRIBED A BLUE CAR.  DET. RUNYAN ATTEMPTED TO FIND THE VEHICLE ON FLOCK CAMERAS; A LICENSE PLATE READER SYSTEM; BUT WAS UNABLE TO LOCATE IT.  AT THIS TIME THERE IS NO ADDITIONAL FOLLOW UP.
20248243505,Franklin County,Unit 2 was traveling westbound on E. Main St in attempt to get her Arby's for dinner. Unit 1 was pulling out of the parking lot near Devore Drive Through and did not see Unit 2. Unit 1 struck the passenger door of Unit 2 and then fled the scene. Unit 2 did have paint transfer on their vehicle which was blue. Unit 2 stated the vehicle was a blue pick up truck. 
20252142913,Franklin County,UNIT 1 AND UNIT 2 WERE TRAVELING EAST ON CEMETERY RD APPROACHING THE SERVICE RD BY TACO BELL NEAR LEAP RD. UNIT 1 WAS STOPPED IN TRAFFIC AND UNIT 2 FAILED TO MAINTAIN A SAFE STOPPING DISTANCE AND STRUCK THE REAR OF UNIT 1. UNIT 2 FLED THE SCENE.    UNIT 2 WAS LATER FOUND AND THE DRIVER ADMITTED TO DRIVING; STRIKING UNIT 1; AND LEAVING THE SCENE. THE DRIVER OF UNIT 2 WAS CITED FOR ACDA AND STOPPING AFTER ACCIDENTS.
20252154695,Franklin County,UNIT 2 WAS TRAVELING EASTBOUND ON HOSPITAL DR. UNIT 1 WAS AT THE STOP SIGN ON THE ACCESS ROAD NEAR THE WENDY'S AT AVERY SQUARE. UNIT 1 FAILED TO OBEY THE STOP SIGN WHILE TURNING LEFT ON HOSPITAL DR; STRIKING UNIT 2. UNIT 1 THEN FLED THE SCENE. DESCRIPTION OF UNIT 1 IS A BLACK KIA.
20253000165,Franklin County,Unit 2 was facing west stopped at the stop light in the turn lane of E. Main St. and Brice Rd.     Unit 1 turned left out of the parking lot of McDonalds (6323 E. Main St.)to travel Westbound on E. Main St. While negotiating the turn; unit 1 swerved left to avoid traffic traveling Westbound striking the right rear corner of unit 2 causing damage.
20253006613,Franklin County,On 1/11/2025 at approximately 01:30 in the morning; Unit one was traveling southbound in the parking lot of Donatos. Unit one then went through the parking spot; over the grass curb and struck Unit two. Unit two was parked in the wendys parking lot. Unit one left the scene immediately. Officer C. Rambin #3351 was working special duty at Donatos and witnessed the crash happen. 
20253010141,Franklin County,On 1/16/2025 at approximately 8:40 AM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 165 was dispatched to SR315NB/I670 in response to an auto accident with a possible injury. Officer McDonald spoke with the driver of Unit #2 who was identified by his Ohio drivers license as Reed West. Mr. West stated that he was traveling N/B on 315N approaching I670. Mr. West stated that traffic was heavy and he began to slow when he was struck from behind by Unit #1. Mr. West stated that he was then pushed into Unit #3 and Unit #4. Officer McDonald spoke with the driver of Unit #1 who was identified by her Ohio drivers license as Jessica Anderson. Ms. Anderson stated that she was also traveling N/B on 315 NB approaching I670. Ms. Anderson stated that she crashed into the rear of unit #2. Both Unit #1 and Unit #2 were inoperable and towed by A&A Towing. Ms. Anderson was issued a citation for ACDA. Mr. Reed stated that he had no injuries but wished to be transported for possible injuries. Mr. Reed was transported to OSU Main Hospital by CFD Medic 25. 
20253015104,Franklin County,Other Officers were in pursuit with Unit 1;  traveling East on I-70 approaching the Parsons Ave exit. Upon attempting to enter the Parsons Avenue  exit ramp; Unit 1 struck Unit 2 from the rear at approximately 70 MPH. Unit 2 spun multiple times before coming to a final rest against the wall. Unit 1 came to a final rest approximately 100 feet east of of Unit 2; still on the Parsons Ave exit ramp due to disabling damage. The driver and occupants of Unit 1 fled the scene on foot immediately following the collision.The driver of Unit 2; Ms. Wendy Yeboah; was not able to tell officers what happened due to her not seeing how the collision began. Ms. Yeboah was evaluated by CFD Medic 2 and required no treatment or transport. Unit 2 was towed from scene by Pro Tow. Unit 1 was towed out of the pursuit investigation. Be advised that the driver of unit 2 was not able to find her insurance policy number but knew that her company was state farm.  Also the tag that was physically on unit 1 was OH dealer tag #001A6KG; but the tag that is attached to the VIN is OH tag #SUHWEET; which was not on unit 1.  The driver of unit #2 was driven home by other Officers.
20253018084,Franklin County,Unit #1 was found by Officers crashed into a utility pole on the west side of South High St. south of Fornof Rd. Unit #1 was facing southbound. Unit #1 was unoccupied when Officers arrived on scene. Officers located a male laying in the southbound lanes of South High St. a short distance south of Unit #1. The male was unable to provide any details to Officers. There were no witnesses to the crash. Unit #1 was the only vehicle found on scene when Officers arrived. The male was transported by Columbus Fire Medic 14 with life threatening injuries to Grant Medical Center; where he was pronounced deceased at 3:15 AM. Columbus Police AIU responded to scene. It was later determined by Officers that Mr. McDonald and Mr. Matheny were occupants of Unit #1 and had fled the scene on foot after the crash in a unknown direction.Where each occupant was sitting and who was driving is still under investigation. The listed occupants of Unit #1; Mr. McDonald and Mr. Matheny;  transported themselves to Ohio Health Obetz and Grant Medical Center respectively a short time after the crash had occurred. Officers responded to the respective hospitals and spoke with the listed occupants.
20253018584,Franklin County,On 1/28/25 Unit 2 was traveling wb on Livingston Ave while; Unit 1 was leaving the McDonalds parking lot at 3005 E Livingston Ave attempting to cross Livingston Ave and travel n/b onto Kellner Rd. Unit 1 failed to yield from a private dr causing Unit 2 to strike Unit 1 spinning Unit 1 into a yard while Unit 2 was forced into Unit 3; who was stopped at a stop sign facing s/b on Kellner Rd. The driver of Unit1 was found at fault; see CPD Citation CPD073368. The driver of Unit 2 was transported to Grant Medical Hospital to be treated for minor injuries to his neck. The driver of Unit 1 was transported to OSU East Hospital to be treated for her minor injuries as well. 
20253020833,Franklin County,On 1/30/2025 at approximately 9:31 AM; Officer A. McDonald #2811 and Officer C. Brooks #3408 wearing the uniform of the day and working CPD marked cruiser 165 as unit 161 was dispatched to Lester Dr. and E. Spring St. in response to an auto accident with injuries. Upon arrival; Officer McDonald spoke with the driver of unit #2 who was identified by his Ohio drivers license as Christopher Graves. Mr. Graves stated that he had exited the I71 S/B ramp and was heading S/B towards Lester Dr. crossing over E. Spring St. Mr. Graves stated that he had a green light and proceeded through the intersection when he struck unit #1. Officer McDonald spoke with a witness who was identified as Westley Phillips. Mr. Phillips stated that he believed Mr. Graves had a yellow light and proceeded through the intersection when he struck unit #1. Officer N. Molnar #984 and Officer J. Clark #2544 working CPD marked cruiser 162 spoke with a witness who identified herself as Becky. Beckey stated that she was traveling behind unit #1 and that unit #1 had the green light. Becky stated that unit #2 ran the red light resulting in the accident. Becky stated that she had video dashcam of the accident. Officers attempted to access the dashcam footage; however their was no saved footage from the accident. Officer McDonald spoke with another witness; Carlton Jones; who stated that he was driving 
20253020835,Franklin County,On 1/27/2025 at approximately 8:45 AM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 162 was disptached to Cleveland Ave. at E. Broad St. in response to an auto accident with injury hit skip. Upon arrival; Officer McDonald spoke with unit #2 who identified himself as Jon Stephens. Mr. Stephens stated that he was crossing the street heading S/B at Cleveland Ave. and E. Broad St. Mr. Stephens stated that he obeyed the pedestrian traffic control device. Mr. Stephens stated that unit #1 failed to yield while making a left hand turn and crashed into him. Mr. Stephens stated that the driver then fled the scene. Officer McDonald spoke with Victor Flower at Egan-Ryan Funeral home who was able to show Officer McDonald video footage of the accident. The video showed Mr. Stephens in the crosswalk and unit #1 fail to yield resulting in the accident. Officer McDonald was unable to get a license plate for the vehicle; however could see that it was a silver Ford Explorer. Mr. Flowers was sent a AXON link to upload the video footage. Mr. Stephens was transported to Grant Hospital by CFD medic 1 for injuries sustained during the accident. Columbus City school bus #906 driver Derek Clark stated that he was parked at W/B at Cleveland Ave. and E. Broad St. Mr. Clark stated that he observed Mr. Stephens crossing the crosswalk at E. Broad St. and Cleveland 
20253024276,Franklin County,On Monday; February 3rd; 2025; Unit 2 was traveling northbound on Alum Creek Dr. approaching the E. Livingston Ave intersection when Unit 1 exited the McDonald's parking lot and struck her vehicle. Unit 1 left the scene and Driver of Unit 2 contacted police. Unit 2 sustained functional damage though Driver of Unit 2 was able to drive Unit 2 from the scene following receiving her report number. 
20253030839,Franklin County,"On 2/16/2025 at approximately 12:05 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 162 was dispatched to 480 W. Broad St. in response to an auto accident hit-skip. Officer McDonald spoke with the driver of unit #2 who identified himself as Mel Reed. Mr. Reed stated that he was traveling E/B on SR 161 approaching N. Meadows Blvd. Mr. Reed stated that the driver of unit #1 struck the rear of his vehicle. Mr. Reed described the driver as a male black approximately thirty to thirty-five years old. Mr. Reed stated that the driver of unit #1 told him that ""he has no damage to his vehicle;"" and refused to exchange information. Mr. Reed stated that the driver of unit #1 then left the scene in a black GMC Suv with Ohio tag KEZ9260. Officer Oxley #2011 and Officer Westlake #1614 attempted to follow up at the listed address for the tag; however were unsuccessful. Mr. Reed stated that he had neck pain and a headache from the accident. Officer McDonald ask Mr. Reed if he needed a medic and Mr. Reed declined. Mr. Reed stated that he saw no visible damage to his vehicle but that he wanted to take his vehicle to a mechanic to have it looked at. Mr. Reed was given a incident report number and referred to his insurance company.  "
20253030842,Franklin County,On 2/14/2025 at approximately 11:43 AM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 164 was dispatched to N. Souder Ave. at Dublin Rd. in response to an auto accident with property damage only. Upon arrival; Officer McDonald spoke with the driver of unit #1 who was identified by his Ohio drivers license as Jeremy Evans. Mr. Evans stated that he was traveling E/B on Dublin Rd. approaching N. Souder Ave. Mr. Evans stated that he ran the red light which resulted in the accident with unit #2. Officer McDonald spoke with the driver of unit #2 who was identified by his Ohio drivers license as Steven Berner. Mr. Berner stated that he was exiting the freeway ramp and had the green light to proceed thru Dublin Rd. Mr. Berner stated that the driver of unit #1 ran the red light resulting in the accident. Mr. Evans was issued a citation for running the red light. Both vehicles were impounded for the owners by PRO TOW. Neither party reported any injuries at scene. 
20253034468,Franklin County,Unit 1 was traveling Westbound on Morse Rd approaching Chiefdoms Rd. Unit 2 was traveling Eastbound on Morse Rd passing Chiefdoms Rd. Unit 1 turned left to go into the Subway parking lot in front of Unit 2 causing Unit 2 to strike the front of Unit 1 with the front of Unit 2. Driver of Unit 1 was transported to Riverside Hospital where she was pronounced at 2116. Driver of Unit 2 was transported to Mount Caramel East in stable condition.Witness was in the Subway parking lot who stated he observed Unit 1 turn in front of Unit 2 to get into the Subway parking lot; causing Unit 2 to strike Unit 1. Both vehicles were towed from scene. Worthington Police arrived at Riverside to assist with the identification of Driver of Unit 1.
20253041412,Franklin County,Driver of of unit #2 stated he was exiting the McDonald parking lot heading north bound to enter the service road just south of E. Dublin Granville Rd and west of Maple Canyon Ave.  Driver of unit #2 stated as he was exiting unit #1 struck unit #2 on the passenger front side and causing functional damage to his vehicle by taking off the front end bumper.  Driver of unit #2 stated that unit #1 never stopped and continued west bound onto the service road before going west bound on E. Dublin Granville Rd.  Driver of unit #2 was able to get a license plate on the vehicle and also McDonald has video surveillance of the incident.  Responding officer advised driver of unit #2 that a report would be taken and provided him with an incident number for his records.  Responding officer did a follow up at the address provided from the license plate but was unable to contact anyone out of the incident. 
20253041857,Franklin County,Unit #1 stated that she was exiting the McDonald's parking lot located at 4131 Morse Crossing just north of New Bond St.  Unit #1 thought she was in the north bound lanes when she exited the lot but instead was in the south bound lanes. Unit #1 stated that is when Unit #2; who was traveling south on Morse Crossing in the far right lane struck her on the front bumper causing disabling damage to both vehicles.  The driver of Unit #2 was transported to Mt Carmel saint Anns by CFD medic 28 in stable condition.  Both Units were towed by Pro Tow to the Accident lot.  The driver of Unit #1 was given a citation for driving the wrong way on a one way. The driver of Unit #2 has only been in the United States on a work visa for approximately a month and only has Republic of Guinea driver's license.  USA Work Visa #245-711-560
